date,country
2022-01-01,EE
2022-02-24,EE
2022-04-15,EE
2022-04-17,EE
2022-05-01,EE
2022-06-05,EE
2022-06-23,EE
2022-06-24,EE
2022-08-20,EE
2022-12-24,EE
2022-12-25,EE
2022-12-26,EE
2020-01-01,FI
2020-01-06,FI
2020-04-10,FI
2020-04-12,FI
2020-04-13,FI
2020-05-01,FI
2020-05-21,FI
2020-05-31,FI
2020-06-19,FI
2020-06-20,FI
2020-10-31,FI
2020-12-06,FI
2020-12-24,FI
2020-12-25,FI
2020-12-26,FI
2021-01-01,FI
2021-01-06,FI
2021-04-02,FI
2021-04-04,FI
2021-04-05,FI
2021-05-01,FI
2021-05-13,FI
2021-05-23,FI
2021-06-25,FI
2021-06-26,FI
2021-11-06,FI
2021-12-06,FI
2021-12-24,FI
2021-12-25,FI
2021-12-26,FI
2022-01-01,FI
2022-01-06,FI
2022-04-15,FI
2022-04-17,FI
2022-04-18,FI
2022-05-01,FI
2022-05-26,FI
2022-06-05,FI
2022-06-24,FI
2022-06-25,FI
2022-11-05,FI
2022-12-06,FI
2022-12-24,FI
2022-12-25,FI
2022-12-26,FI
2020-01-01,FR
2020-04-10,FR
2020-04-13,FR
2020-05-01,FR
2020-05-08,FR
2020-05-21,FR
2020-05-22,FR
2020-05-27,FR
2020-06-01,FR
2020-07-14,FR
2020-08-15,FR
2020-11-01,FR
2020-11-11,FR
2020-12-25,FR
2020-12-26,FR
2021-01-01,FR
2021-04-02,FR
2021-04-05,FR
2021-05-01,FR
2021-05-08,FR
2021-05-13,FR
2021-05-22,FR
2021-05-24,FR
2021-05-27,FR
2021-07-14,FR
2021-08-15,FR
2021-11-01,FR
2021-11-11,FR
2021-12-25,FR
2021-12-26,FR
2022-01-01,FR
2022-04-15,FR
2022-04-18,FR
2022-05-01,FR
2022-05-08,FR
2022-05-22,FR
2022-05-26,FR
2022-05-27,FR
2022-06-06,FR
2022-07-14,FR
2022-08-15,FR
2022-11-01,FR
2022-11-11,FR
2022-12-25,FR
2022-12-26,FR
2020-01-01,DE
2020-01-06,DE
2020-03-08,DE
2020-04-10,DE
2020-04-12,DE
2020-04-13,DE
2020-05-01,DE
2020-05-08,DE
2020-05-21,DE
2020-05-31,DE
2020-06-01,DE
2020-06-11,DE
2020-08-15,DE
2020-09-20,DE
2020-10-03,DE
2020-10-31,DE
2020-11-01,DE
2020-11-18,DE
2020-12-25,DE
2020-12-26,DE
2021-01-01,DE
2021-01-06,DE
2021-03-08,DE
2021-04-02,DE
2021-04-04,DE
2021-04-05,DE
2021-05-01,DE
2021-05-13,DE
2021-05-23,DE
2021-05-24,DE
2021-06-03,DE
2021-08-15,DE
2021-09-20,DE
2021-10-03,DE
2021-10-31,DE
2021-11-01,DE
2021-11-17,DE
2021-12-25,DE
2021-12-26,DE
2022-01-01,DE
2022-01-06,DE
2022-03-08,DE
2022-04-15,DE
2022-04-17,DE
2022-04-18,DE
2022-05-01,DE
2022-05-26,DE
2022-06-05,DE
2022-06-06,DE
2022-06-16,DE
2022-08-15,DE
2022-09-20,DE
2022-10-03,DE
2022-10-31,DE
2022-11-01,DE
2022-11-16,DE
2022-12-25,DE
2022-12-26,DE
2020-01-01,GR
2020-01-06,GR
2020-03-02,GR
2020-03-25,GR
2020-03-25,GR
2020-04-17,GR
2020-04-19,GR
2020-04-20,GR
2020-05-01,GR
2020-06-07,GR
2020-06-08,GR
2020-08-15,GR
2020-10-28,GR
2020-12-25,GR
2020-12-26,GR
2021-01-01,GR
2021-01-06,GR
2021-03-15,GR
2021-03-25,GR
2021-03-25,GR
2021-04-30,GR
2021-05-01,GR
2021-05-02,GR
2021-05-03,GR
2021-06-20,GR
2021-06-21,GR
2021-08-15,GR
2021-10-28,GR
2021-12-25,GR
2021-12-26,GR
2022-01-01,GR
2022-01-06,GR
2022-03-07,GR
2022-03-25,GR
2022-03-25,GR
2022-04-22,GR
2022-04-24,GR
2022-04-25,GR
2022-05-01,GR
2022-06-12,GR
2022-06-13,GR
2022-08-15,GR
2022-10-28,GR
2022-12-25,GR
2022-12-26,GR
2020-01-01,HU
2020-03-15,HU
2020-04-10,HU
2020-04-12,HU
2020-04-13,HU
2020-05-01,HU
2020-05-31,HU
2020-06-01,HU
2020-08-20,HU
2020-10-23,HU
2020-11-01,HU
2020-12-25,HU
2020-12-26,HU
2021-01-01,HU
2021-03-15,HU
2021-04-02,HU
2021-04-04,HU
2021-04-05,HU
2021-05-01,HU
2021-05-23,HU
2021-05-24,HU
2021-08-20,HU
2021-10-23,HU
2021-11-01,HU
2021-12-25,HU
2021-12-26,HU
2022-01-01,HU
2022-03-15,HU
2022-04-15,HU
2022-04-17,HU
2022-04-18,HU
2022-05-01,HU
2022-06-05,HU
2022-06-06,HU
2022-08-20,HU
2022-10-23,HU
2022-11-01,HU
2022-12-25,HU
2022-12-26,HU
2020-01-01,IS
2020-04-09,IS
2020-04-10,IS
2020-04-12,IS
2020-04-13,IS
2020-04-23,IS
2020-05-01,IS
2020-05-21,IS
2020-05-31,IS
2020-06-01,IS
2020-06-17,IS
2020-08-03,IS
2020-12-24,IS
2020-12-25,IS
2020-12-26,IS
2020-12-31,IS
2021-01-01,IS
2021-04-01,IS
2021-04-02,IS
2021-04-04,IS
2021-04-05,IS
2021-04-22,IS
2021-05-01,IS
2021-05-13,IS
2021-05-23,IS
2021-05-24,IS
2021-06-17,IS
2021-08-02,IS
2021-12-24,IS
2021-12-25,IS
2021-12-26,IS
2021-12-31,IS
2022-01-01,IS
2022-04-14,IS
2022-04-15,IS
2022-04-17,IS
2022-04-18,IS
2022-04-21,IS
2022-05-01,IS
2022-05-26,IS
2022-06-05,IS
2022-06-06,IS
2022-06-17,IS
2022-08-01,IS
2022-12-24,IS
2022-12-25,IS
2022-12-26,IS
2022-12-31,IS
2020-01-01,IE
2020-03-17,IE
2020-04-10,IE
2020-04-13,IE
2020-05-04,IE
2020-06-01,IE
2020-08-03,IE
2020-10-26,IE
2020-12-25,IE
2020-12-26,IE
2021-01-01,IE
2021-03-17,IE
2021-04-02,IE
2021-04-05,IE
2021-05-03,IE
2021-06-07,IE
2021-08-02,IE
2021-10-25,IE
2021-12-25,IE
2021-12-26,IE
2022-01-01,IE
2022-03-17,IE
2022-04-15,IE
2022-04-18,IE
2022-05-02,IE
2022-06-06,IE
2022-08-01,IE
2022-10-31,IE
2022-12-25,IE
2022-12-26,IE
2020-01-01,IT
2020-01-06,IT
2020-04-12,IT
2020-04-13,IT
2020-04-25,IT
2020-05-01,IT
2020-06-02,IT
2020-08-15,IT
2020-11-01,IT
2020-12-08,IT
2020-12-25,IT
2020-12-26,IT
2021-01-01,IT
2021-01-06,IT
2021-04-04,IT
2021-04-05,IT
2021-04-25,IT
2021-05-01,IT
2021-06-02,IT
2021-08-15,IT
2021-11-01,IT
2021-12-08,IT
2021-12-25,IT
2021-12-26,IT
2022-01-01,IT
2022-01-06,IT
2022-04-17,IT
2022-04-18,IT
2022-04-25,IT
2022-05-01,IT
2022-06-02,IT
2022-08-15,IT
2022-11-01,IT
2022-12-08,IT
2022-12-25,IT
2022-12-26,IT
2020-01-01,LV
2020-04-10,LV
2020-04-12,LV
2020-04-13,LV
2020-05-01,LV
2020-05-04,LV
2020-05-10,LV
2020-06-23,LV
2020-06-24,LV
2020-11-18,LV
2020-12-24,LV
2020-12-25,LV
2020-12-26,LV
2020-12-31,LV
2021-01-01,LV
2021-04-02,LV
2021-04-04,LV
2021-04-05,LV
2021-05-01,LV
2021-05-04,LV
2021-05-09,LV
2021-06-23,LV
2021-06-24,LV
2021-11-18,LV
2021-12-24,LV
2021-12-25,LV
2021-12-26,LV
2021-12-31,LV
2022-01-01,LV
2022-04-15,LV
2022-04-17,LV
2022-04-18,LV
2022-05-01,LV
2022-05-04,LV
2022-05-08,LV
2022-06-23,LV
2022-06-24,LV
2022-11-18,LV
2022-12-24,LV
2022-12-25,LV
2022-12-26,LV
2022-12-31,LV
2020-01-01,LI
2020-01-02,LI
2020-01-06,LI
2020-02-02,LI
2020-03-19,LI
2020-04-10,LI
2020-04-13,LI
2020-05-01,LI
2020-05-29,LI
2020-06-01,LI
2020-06-11,LI
2020-08-15,LI
2020-09-08,LI
2020-11-01,LI
2020-12-08,LI
2020-12-24,LI
2020-12-25,LI
2020-12-26,LI
2020-12-31,LI
2021-01-01,LI
2021-01-02,LI
2021-01-06,LI
2021-02-02,LI
2021-03-19,LI
2021-04-02,LI
2021-04-05,LI
2021-05-01,LI
2021-05-24,LI
2021-05-29,LI
2021-06-03,LI
2021-08-15,LI
2021-09-08,LI
2021-11-01,LI
2021-12-08,LI
2021-12-24,LI
2021-12-25,LI
2021-12-26,LI
2021-12-31,LI
2022-01-01,LI
2022-01-02,LI
2022-01-06,LI
2022-02-02,LI
2022-03-19,LI
2022-04-15,LI
2022-04-18,LI
2022-05-01,LI
2022-05-29,LI
2022-06-06,LI
2022-06-16,LI
2022-08-15,LI
2022-09-08,LI
2022-11-01,LI
2022-12-08,LI
2022-12-24,LI
2022-12-25,LI
2022-12-26,LI
2022-12-31,LI
2020-01-01,LT
2020-02-16,LT
2020-03-11,LT
2020-04-12,LT
2020-04-13,LT
2020-05-01,LT
2020-06-24,LT
2020-07-06,LT
2020-08-15,LT
2020-11-01,LT
2020-11-02,LT
2020-12-24,LT
2020-12-25,LT
2020-12-26,LT
2021-01-01,LT
2021-02-16,LT
2021-03-11,LT
2021-04-04,LT
2021-04-05,LT
2021-05-01,LT
2021-06-24,LT
2021-07-06,LT
2021-08-15,LT
2021-11-01,LT
2021-11-02,LT
2021-12-24,LT
2021-12-25,LT
2021-12-26,LT
2022-01-01,LT
2022-02-16,LT
2022-03-11,LT
2022-04-17,LT
2022-04-18,LT
2022-05-01,LT
2022-06-24,LT
2022-07-06,LT
2022-08-15,LT
2022-11-01,LT
2022-11-02,LT
2022-12-24,LT
2022-12-25,LT
2022-12-26,LT
2020-01-01,LU
2020-04-10,LU
2020-04-13,LU
2020-05-01,LU
2020-05-09,LU
2020-05-21,LU
2020-06-01,LU
2020-06-23,LU
2020-08-15,LU
2020-11-01,LU
2020-12-25,LU
2020-12-26,LU
2021-01-01,LU
2021-04-02,LU
2021-04-05,LU
2021-05-01,LU
2021-05-09,LU
2021-05-13,LU
2021-05-24,LU
2021-06-23,LU
2021-08-15,LU
2021-11-01,LU
2021-12-25,LU
2021-12-26,LU
2022-01-01,LU
2022-04-15,LU
2022-04-18,LU
2022-05-01,LU
2022-05-09,LU
2022-05-26,LU
2022-06-06,LU
2022-06-23,LU
2022-08-15,LU
2022-11-01,LU
2022-12-25,LU
2022-12-26,LU
2020-01-01,MT
2020-02-10,MT
2020-03-19,MT
2020-03-31,MT
2020-04-10,MT
2020-05-01,MT
2020-06-07,MT
2020-06-29,MT
2020-08-15,MT
2020-09-08,MT
2020-09-21,MT
2020-12-08,MT
2020-12-13,MT
2020-12-25,MT
2021-01-01,MT
2021-02-10,MT
2021-03-19,MT
2021-03-31,MT
2021-04-02,MT
2021-05-01,MT
2021-06-07,MT
2021-06-29,MT
2021-08-15,MT
2021-09-08,MT
2021-09-21,MT
2021-12-08,MT
2021-12-13,MT
2021-12-25,MT
2022-01-01,MT
2022-02-10,MT
2022-03-19,MT
2022-03-31,MT
2022-04-15,MT
2022-05-01,MT
2022-06-07,MT
2022-06-29,MT
2022-08-15,MT
2022-09-08,MT
2022-09-21,MT
2022-12-08,MT
2022-12-13,MT
2022-12-25,MT
2020-01-01,NL
2020-04-10,NL
2020-04-12,NL
2020-04-13,NL
2020-04-27,NL
2020-05-05,NL
2020-05-21,NL
2020-05-31,NL
2020-06-01,NL
2020-12-25,NL
2020-12-26,NL
2021-01-01,NL
2021-04-02,NL
2021-04-04,NL
2021-04-05,NL
2021-04-27,NL
2021-05-05,NL
2021-05-13,NL
2021-05-23,NL
2021-05-24,NL
2021-12-25,NL
2021-12-26,NL
2022-01-01,NL
2022-04-15,NL
2022-04-17,NL
2022-04-18,NL
2022-04-27,NL
2022-05-05,NL
2022-05-26,NL
2022-06-05,NL
2022-06-06,NL
2022-12-25,NL
2022-12-26,NL
2020-01-01,NO
2020-04-09,NO
2020-04-10,NO
2020-04-12,NO
2020-04-13,NO
2020-05-01,NO
2020-05-17,NO
2020-05-21,NO
2020-05-31,NO
2020-06-01,NO
2020-12-25,NO
2020-12-26,NO
2021-01-01,NO
2021-04-01,NO
2021-04-02,NO
2021-04-04,NO
2021-04-05,NO
2021-05-01,NO
2021-05-13,NO
2021-05-17,NO
2021-05-23,NO
2021-05-24,NO
2021-12-25,NO
2021-12-26,NO
2022-01-01,NO
2022-04-14,NO
2022-04-15,NO
2022-04-17,NO
2022-04-18,NO
2022-05-01,NO
2022-05-17,NO
2022-05-26,NO
2022-06-05,NO
2022-06-06,NO
2022-12-25,NO
2022-12-26,NO
2020-01-01,PL
2020-01-06,PL
2020-04-12,PL
2020-04-13,PL
2020-05-01,PL
2020-05-03,PL
2020-05-31,PL
2020-06-11,PL
2020-08-15,PL
2020-11-01,PL
2020-11-11,PL
2020-12-25,PL
2020-12-26,PL
2021-01-01,PL
2021-01-06,PL
2021-04-04,PL
2021-04-05,PL
2021-05-01,PL
2021-05-03,PL
2021-05-23,PL
2021-06-03,PL
2021-08-15,PL
2021-11-01,PL
2021-11-11,PL
2021-12-25,PL
2021-12-26,PL
2022-01-01,PL
2022-01-06,PL
2022-04-17,PL
2022-04-18,PL
2022-05-01,PL
2022-05-03,PL
2022-06-05,PL
2022-06-16,PL
2022-08-15,PL
2022-11-01,PL
2022-11-11,PL
2022-12-25,PL
2022-12-26,PL
2020-01-01,PT
2020-02-25,PT
2020-04-10,PT
2020-04-12,PT
2020-04-25,PT
2020-05-01,PT
2020-06-01,PT
2020-06-10,PT
2020-06-11,PT
2020-07-01,PT
2020-08-15,PT
2020-10-05,PT
2020-11-01,PT
2020-12-01,PT
2020-12-08,PT
2020-12-25,PT
2020-12-26,PT
2021-01-01,PT
2021-02-16,PT
2021-04-02,PT
2021-04-04,PT
2021-04-25,PT
2021-05-01,PT
2021-06-01,PT
2021-06-03,PT
2021-06-10,PT
2021-07-01,PT
2021-08-15,PT
2021-10-05,PT
2021-11-01,PT
2021-12-01,PT
2021-12-08,PT
2021-12-25,PT
2021-12-26,PT
2022-01-01,PT
2022-03-01,PT
2022-04-15,PT
2022-04-17,PT
2022-04-25,PT
2022-05-01,PT
2022-06-01,PT
2022-06-10,PT
2022-06-16,PT
2022-07-01,PT
2022-08-15,PT
2022-10-05,PT
2022-11-01,PT
2022-12-01,PT
2022-12-08,PT
2022-12-25,PT
2022-12-26,PT
2020-01-01,RO
2020-01-02,RO
2020-01-24,RO
2020-04-17,RO
2020-04-19,RO
2020-04-20,RO
2020-05-01,RO
2020-06-01,RO
2020-06-07,RO
2020-06-08,RO
2020-08-15,RO
2020-11-30,RO
2020-12-01,RO
2020-12-25,RO
2020-12-26,RO
2021-01-01,RO
2021-01-02,RO
2021-01-24,RO
2021-04-30,RO
2021-05-01,RO
2021-05-02,RO
2021-05-03,RO
2021-06-01,RO
2021-06-20,RO
2021-06-21,RO
2021-08-15,RO
2021-11-30,RO
2021-12-01,RO
2021-12-25,RO
2021-12-26,RO
2022-01-01,RO
2022-01-02,RO
2022-01-24,RO
2022-04-22,RO
2022-04-24,RO
2022-04-25,RO
2022-05-01,RO
2022-06-01,RO
2022-06-12,RO
2022-06-13,RO
2022-08-15,RO
2022-11-30,RO
2022-12-01,RO
2022-12-25,RO
2022-12-26,RO
2020-01-01,SK
2020-01-06,SK
2020-04-10,SK
2020-04-13,SK
2020-05-01,SK
2020-05-08,SK
2020-07-05,SK
2020-08-29,SK
2020-09-01,SK
2020-09-15,SK
2020-11-01,SK
2020-11-17,SK
2020-12-24,SK
2020-12-25,SK
2020-12-26,SK
2021-01-01,SK
2021-01-06,SK
2021-04-02,SK
2021-04-05,SK
2021-05-01,SK
2021-05-08,SK
2021-07-05,SK
2021-08-29,SK
2021-09-01,SK
2021-09-15,SK
2021-11-01,SK
2021-11-17,SK
2021-12-24,SK
2021-12-25,SK
2021-12-26,SK
2022-01-01,SK
2022-01-06,SK
2022-04-15,SK
2022-04-18,SK
2022-05-01,SK
2022-05-08,SK
2022-07-05,SK
2022-08-29,SK
2022-09-01,SK
2022-09-15,SK
2022-11-01,SK
2022-11-17,SK
2022-12-24,SK
2022-12-25,SK
2022-12-26,SK
2020-01-01,SI
2020-01-02,SI
2020-02-08,SI
2020-04-12,SI
2020-04-13,SI
2020-04-27,SI
2020-05-01,SI
2020-05-02,SI
2020-05-31,SI
2020-06-25,SI
2020-08-15,SI
2020-10-31,SI
2020-11-01,SI
2020-12-25,SI
2020-12-26,SI
2021-01-01,SI
2021-01-02,SI
2021-02-08,SI
2021-04-04,SI
2021-04-05,SI
2021-04-27,SI
2021-05-01,SI
2021-05-02,SI
2021-05-23,SI
2021-06-25,SI
2021-08-15,SI
2021-10-31,SI
2021-11-01,SI
2021-12-25,SI
2021-12-26,SI
2022-01-01,SI
2022-01-02,SI
2022-02-08,SI
2022-04-17,SI
2022-04-18,SI
2022-04-27,SI
2022-05-01,SI
2022-05-02,SI
2022-06-05,SI
2022-06-25,SI
2022-08-15,SI
2022-10-31,SI
2022-11-01,SI
2022-12-25,SI
2022-12-26,SI
2020-01-01,ES
2020-01-06,ES
2020-02-28,ES
2020-03-01,ES
2020-03-19,ES
2020-04-09,ES
2020-04-10,ES
2020-04-13,ES
2020-04-23,ES
2020-04-23,ES
2020-05-01,ES
2020-05-02,ES
2020-05-17,ES
2020-05-31,ES
2020-06-09,ES
2020-06-09,ES
2020-06-11,ES
2020-06-24,ES
2020-07-20,ES
2020-07-21,ES
2020-07-28,ES
2020-08-15,ES
2020-09-02,ES
2020-09-08,ES
2020-09-08,ES
2020-09-11,ES
2020-09-15,ES
2020-10-09,ES
2020-10-12,ES
2020-11-01,ES
2020-12-06,ES
2020-12-08,ES
2020-12-25,ES
2020-12-26,ES
2021-01-01,ES
2021-01-06,ES
2021-02-28,ES
2021-03-01,ES
2021-03-19,ES
2021-04-01,ES
2021-04-02,ES
2021-04-05,ES
2021-04-23,ES
2021-04-23,ES
2021-05-01,ES
2021-05-03,ES
2021-05-17,ES
2021-05-31,ES
2021-06-03,ES
2021-06-09,ES
2021-06-09,ES
2021-06-24,ES
2021-07-20,ES
2021-07-21,ES
2021-07-28,ES
2021-08-16,ES
2021-09-02,ES
2021-09-08,ES
2021-09-08,ES
2021-09-11,ES
2021-09-15,ES
2021-10-09,ES
2021-10-12,ES
2021-11-01,ES
2021-12-06,ES
2021-12-08,ES
2021-12-25,ES
2021-12-26,ES
2022-01-01,ES
2022-01-06,ES
2022-02-28,ES
2022-03-01,ES
2022-03-19,ES
2022-04-14,ES
2022-04-15,ES
2022-04-18,ES
2022-04-23,ES
2022-04-23,ES
2022-05-02,ES
2022-05-03,ES
2022-05-17,ES
2022-05-31,ES
2022-06-09,ES
2022-06-09,ES
2022-06-16,ES
2022-06-24,ES
2022-07-20,ES
2022-07-21,ES
2022-07-28,ES
2022-08-15,ES
2022-09-02,ES
2022-09-08,ES
2022-09-08,ES
2022-09-11,ES
2022-09-15,ES
2022-10-09,ES
2022-10-12,ES
2022-11-01,ES
2022-12-06,ES
2022-12-08,ES
2022-12-25,ES
2022-12-26,ES
2020-01-01,SE
2020-01-06,SE
2020-04-10,SE
2020-04-12,SE
2020-04-13,SE
2020-05-01,SE
2020-05-21,SE
2020-05-31,SE
2020-06-06,SE
2020-06-19,SE
2020-06-20,SE
2020-10-31,SE
2020-12-24,SE
2020-12-25,SE
2020-12-26,SE
2020-12-31,SE
2021-01-01,SE
2021-01-06,SE
2021-04-02,SE
2021-04-04,SE
2021-04-05,SE
2021-05-01,SE
2021-05-13,SE
2021-05-23,SE
2021-06-06,SE
2021-06-25,SE
2021-06-26,SE
2021-11-06,SE
2021-12-24,SE
2021-12-25,SE
2021-12-26,SE
2021-12-31,SE
2022-01-01,SE
2022-01-06,SE
2022-04-15,SE
2022-04-17,SE
2022-04-18,SE
2022-05-01,SE
2022-05-26,SE
2022-06-05,SE
2022-06-06,SE
2022-06-24,SE
2022-06-25,SE
2022-11-05,SE
2022-12-24,SE
2022-12-25,SE
2022-12-26,SE
2022-12-31,SE
